id,typeShortName,teacher,room,topic,day,startHour,duration
255845,curs,Ovidiu-Andrei Schipor,amf. Dragomir Hurmuzescu,Proiectarea Aplicatiilor WEB,3,660,180
256033,lab,Ovidiu-Andrei Schipor,C207,Proiectarea Aplicatiilor WEB,3,840,120
258088,sem,Ovidiu-Andrei Schipor,C203,Managementul datelor si informatiei ,4,1080,120
263369,curs,Ovidiu-Andrei Schipor,C203,Managementul datelor si informatiei ,4,960,120
