id_cadru,id_subgrupa,topic,id
749,2167,Ingrijiri calificate in boli infectioase,363
1558,2167,Ingrijiri calificate in specialitati medicale: nefrologie si dializa,364
1517,2167,Ingrijiri calificate in medicina de familie,365
1517,2167,Ingrijirea bolnavului la domiciliu. Nursing comunitar,366
548,2167,Promovarea sanatatii si educatiei pentru sanatate,367
367,2167,Aspecte juridice ale profesiei. Legislatie sociala si sanatate,368
1850,2167,Sanatate publica. Management sanitar,369
749,2166,Ingrijiri calificate in boli infectioase,370
1558,2166,Ingrijiri calificate in specialitati medicale: nefrologie si dializa,371
1517,2166,Ingrijiri calificate in medicina de familie,372
1517,2166,Ingrijirea bolnavului la domiciliu. Nursing comunitar,373
548,2166,Promovarea sanatatii si educatiei pentru sanatate,374
367,2166,Aspecte juridice ale profesiei. Legislatie sociala si sanatate,375
1850,2166,Sanatate publica. Management sanitar,376
749,2269,Ingrijiri calificate in boli infectioase,377
1558,2269,Ingrijiri calificate in specialitati medicale: nefrologie si dializa,378
1517,2269,Ingrijiri calificate in medicina de familie,379
1517,2269,Ingrijirea bolnavului la domiciliu. Nursing comunitar,380
548,2269,Promovarea sanatatii si educatiei pentru sanatate,381
367,2269,Aspecte juridice ale profesiei. Legislatie sociala si sanatate,382
1850,2269,Sanatate publica. Management sanitar,383
749,2319,Ingrijiri calificate in boli infectioase,384
1558,2319,Ingrijiri calificate in specialitati medicale: nefrologie si dializa,385
1517,2319,Ingrijiri calificate in medicina de familie,386
1517,2319,Ingrijirea bolnavului la domiciliu. Nursing comunitar,387
548,2319,Promovarea sanatatii si educatiei pentru sanatate,388
367,2319,Aspecte juridice ale profesiei. Legislatie sociala si sanatate,389
1850,2319,Sanatate publica. Management sanitar,390
345,391,Management public,391
363,391,Drept administrativ II,392
363,391,Sisteme administrative comparate,393
1053,391,Drepturi reale,394
358,391,Drept constituțional,395
257,391,Corespondență și tehnici de secretariat,396
1010,391,Comunicarea în administrația publică,397
207,391,Pedagogie 1,398
345,967,Management public,399
363,967,Drept administrativ II,400
363,967,Sisteme administrative comparate,401
1053,967,Drepturi reale,402
358,967,Drept constituțional,403
257,967,Corespondență și tehnici de secretariat,404
1010,967,Comunicarea în administrația publică,405
207,967,Pedagogie 1,406
345,392,Management public,407
363,392,Drept administrativ II,408
363,392,Sisteme administrative comparate,409
1053,392,Drepturi reale,410
358,392,Drept constituțional,411
257,392,Corespondență și tehnici de secretariat,412
1010,392,Comunicarea în administrația publică,413
207,392,Pedagogie 1,414
345,1159,Management public,415
363,1159,Drept administrativ II,416
363,1159,Sisteme administrative comparate,417
1053,1159,Drepturi reale,418
358,1159,Drept constituțional,419
257,1159,Corespondență și tehnici de secretariat,420
1010,1159,Comunicarea în administrația publică,421
257,393,Managementul resurselor umane în administrația publică,422
361,393,Sisteme juridice comparate,423
391,393,Informatică și sisteme informaționale în administrația publică,424
743,393,Sociologie,425
743,393,Metodologia cercetării științifice,426
358,393,Abuzul de drept,427
362,393,Drept în protecția mediului și dezvoltare durabilă,428
206,393,Didactica specialitatii,429
257,1161,Managementul resurselor umane în administrația publică,430
361,1161,Sisteme juridice comparate,431
391,1161,Informatică și sisteme informaționale în administrația publică,432
743,1161,Sociologie,433
743,1161,Metodologia cercetării științifice,434
358,1161,Abuzul de drept,435
362,1161,Drept în protecția mediului și dezvoltare durabilă,436
206,1161,Didactica specialitatii,437
257,968,Managementul resurselor umane în administrația publică,438
361,968,Sisteme juridice comparate,439
391,968,Informatică și sisteme informaționale în administrația publică,440
743,968,Sociologie,441
743,968,Metodologia cercetării științifice,442
358,968,Abuzul de drept,443
362,968,Drept în protecția mediului și dezvoltare durabilă,444
206,968,Didactica specialitatii,445
257,1162,Managementul resurselor umane în administrația publică,446
361,1162,Sisteme juridice comparate,447
391,1162,Informatică și sisteme informaționale în administrația publică,448
743,1162,Sociologie,449
743,1162,Metodologia cercetării științifice,450
358,1162,Abuzul de drept,451
362,1162,Drept în protecția mediului și dezvoltare durabilă,452
206,1162,Didactica specialitatii,453
257,1107,Managementul resurselor umane în administrația publică,454
361,1107,Sisteme juridice comparate,455
391,1107,Informatică și sisteme informaționale în administrația publică,456
743,1107,Sociologie,457
743,1107,Metodologia cercetării științifice,458
358,1107,Abuzul de drept,459
362,1107,Drept în protecția mediului și dezvoltare durabilă,460
206,1107,Didactica specialitatii,461
257,395,Politici publice,462
743,395,Etică și integritate academică,463
359,395,Arhivistică și documentaristică,464
363,395,Dreptul material si institutional al UE,465
345,395,Evidența și controlul relațiilor de muncă,466
345,395,Acte de stare civilă,467
369,395,Achiziții publice,468
206,395,Mnagementul Clasei de Elevi,469
257,990,Politici publice,470
743,990,Etică și integritate academică,471
359,990,Arhivistică și documentaristică,472
363,990,Dreptul material si institutional al UE,473
345,990,Evidența și controlul relațiilor de muncă,474
345,990,Acte de stare civilă,475
369,990,Achiziții publice,476
206,990,Mnagementul Clasei de Elevi,477
257,2338,Politici publice,478
743,2338,Etică și integritate academică,479
359,2338,Arhivistică și documentaristică,480
363,2338,Dreptul material si institutional al UE,481
345,2338,Evidența și controlul relațiilor de muncă,482
345,2338,Acte de stare civilă,483
369,2338,Achiziții publice,484
206,2338,Mnagementul Clasei de Elevi,485
118,1234,Algebră şi Geometrie Analitică şi Diferenţială,486
111,1234,Desen Tehnic și Infografică (1),487
104,1234,Metode Numerice,488
124,1234,Mecanică,489
1693,1234,Tehnologia Materialelor,490
552,1234,Informatică Aplicată,491
118,1235,Algebră şi Geometrie Analitică şi Diferenţială,492
111,1235,Desen Tehnic și Infografică (1),493
104,1235,Metode Numerice,494
124,1235,Mecanică,495
1693,1235,Tehnologia Materialelor,496
552,1235,Informatică Aplicată,497
118,1236,Algebră şi Geometrie Analitică şi Diferenţială,498
111,1236,Desen Tehnic și Infografică (1),499
104,1236,Metode Numerice,500
124,1236,Mecanică,501
1693,1236,Tehnologia Materialelor,502
552,1236,Informatică Aplicată,503
106,2106,Rezistenta Materialelor 2,504
344,2106,Metoda Elemetului Finit,505
103,2106,Termotehnică,506
42,2106,Electrotehnica si Masini Electrice (2),507
1535,2106,Electronica Aplicata,508
963,2106,Bazele Ingineriei Autovehiculelor,509
106,2247,Rezistenta Materialelor 2,510
344,2247,Metoda Elemetului Finit,511
103,2247,Termotehnică,512
42,2247,Electrotehnica si Masini Electrice (2),513
1535,2247,Electronica Aplicata,514
963,2247,Bazele Ingineriei Autovehiculelor,515
106,2366,Rezistenta Materialelor 2,516
344,2366,Metoda Elemetului Finit,517
103,2366,Termotehnică,518
42,2366,Electrotehnica si Masini Electrice (2),519
1535,2366,Electronica Aplicata,520
963,2366,Bazele Ingineriei Autovehiculelor,521
104,2195,Tribologie,522
256,2195,Actionari Hidraulice si Pneumatice,523
1082,2195,Sisteme de Control Auto,524
43,2195,Echipament Electric si Electronic al Autovehiculelor,525
409,2195,Combustibili Lubrifianti si Materiale Speciale,526
124,2195,Dinamica Autovehiculelor (2),527
104,2196,Tribologie,528
256,2196,Actionari Hidraulice si Pneumatice,529
1082,2196,Sisteme de Control Auto,530
43,2196,Echipament Electric si Electronic al Autovehiculelor,531
409,2196,Combustibili Lubrifianti si Materiale Speciale,532
124,2196,Dinamica Autovehiculelor (2),533
42,2249,Autovehicule Electrice și Hibride,534
1693,2249,Dinamica Accidentelor de Circulație,535
1530,2249,Telematică Rutieră,536
963,2249,Calculul și Construcția Autovehiculelor,537
1693,2249,Diagnosticarea autovehiculelor,538
42,2250,Autovehicule Electrice și Hibride,539
1693,2250,Dinamica Accidentelor de Circulație,540
1530,2250,Telematică Rutieră,541
963,2250,Calculul și Construcția Autovehiculelor,542
1693,2250,Diagnosticarea autovehiculelor,543
169,121,Psihologie socială,544
83,121,Organizarea si managementul serviciilor de AS,545
1673,121,Tehnici de comunicare în AS,546
1545,121,Teorii si metode de interventie in AS,547
1513,121,Drept si legislatie in asistenta sociala,548
66,121,Politici de incluziune socială,549
149,121,Pedagogie I,550
169,124,Psihologie socială,551
83,124,Organizarea si managementul serviciilor de AS,552
1673,124,Tehnici de comunicare în AS,553
1545,124,Teorii si metode de interventie in AS,554
1513,124,Drept si legislatie in asistenta sociala,555
66,124,Politici de incluziune socială,556
149,124,Pedagogie I,557
206,122,Didactica specialitatii,558
139,122,Servicii de protectie a copilului ,559
1611,122,Manag.  şi eval. programelor de AS,560
385,122,Consiliere în asistenţa socială,561
385,122,Intervenția în criză ,562
581,122,Prelucrarea statistica a datelor ,563
206,1020,Didactica specialitatii,564
139,1020,Servicii de protectie a copilului ,565
1611,1020,Manag.  şi eval. programelor de AS,566
385,1020,Consiliere în asistenţa socială,567
385,1020,Intervenția în criză ,568
581,1020,Prelucrarea statistica a datelor ,569
72,123,Deontologie profesională,570
385,123,Asistenta sociala a persoanelor cu dizabilitati,571
385,123,Asistența socială a persoanelor vârstnice,572
1518,123,Asistența socială în sistemul de probațiune ,573
1545,123,Adopția și plasamentul familial ,574
83,123,Diagnoza si solutionarea problemelor sociale,575
442,2157,Chimie organica,576
1677,2157,Histologie si embriologie vegetala si animala,577
1503,2157,Chimie analitica si instrumentala,578
1797,2157,Biologie vegetala,579
340,2157,Biochimie,580
207,2157,Pedagogie 1,581
442,2168,Chimie organica,582
1677,2168,Histologie si embriologie vegetala si animala,583
1503,2168,Chimie analitica si instrumentala,584
1797,2168,Biologie vegetala,585
340,2168,Biochimie,586
207,2168,Pedagogie 1,587
442,2317,Chimie organica,588
1677,2317,Histologie si embriologie vegetala si animala,589
1503,2317,Chimie analitica si instrumentala,590
1797,2317,Biologie vegetala,591
340,2317,Biochimie,592
207,2317,Pedagogie 1,593
843,2280,Biologie celulară și moleculară,594
1749,2280,Microbiologie generala,595
1804,2280,Enzimologie,596
1685,2280,Fiziologie animala,597
744,2280,Didactica specialitatii,598
843,2281,Biologie celulară și moleculară,599
1749,2281,Microbiologie generala,600
1804,2281,Enzimologie,601
1685,2281,Fiziologie animala,602
843,2320,Introducere in bioinformatica,603
1677,2320,Culturi de celule si tesuturi,604
1749,2320,Genetica moleculara,605
510,2320,Matematici cu aplicatii in biologie,606
1804,2320,Hematologie,607
1098,2320,Microbiologie aplicata,608
206,2320,Managementul Clasei de Elevi,609
1747,759,Biofizica,610
846,759,Evaluare osteoarticulara si musculara,611
1578,759,Anatomie II,612
489,759,Genetica,613
1781,759,Fiziologie și Fiziopatologie,614
367,759,Histologie. Anatomie patologica,615
1850,759,Igiena,616
207,759,Pedagogie 1,617
1747,760,Biofizica,618
846,760,Evaluare osteoarticulara si musculara,619
1578,760,Anatomie II,620
489,760,Genetica,621
1781,760,Fiziologie și Fiziopatologie,622
367,760,Histologie. Anatomie patologica,623
1850,760,Igiena,624
207,760,Pedagogie 1,625
1747,2312,Biofizica,626
846,2312,Evaluare osteoarticulara si musculara,627
1578,2312,Anatomie II,628
489,2312,Genetica,629
1781,2312,Fiziologie și Fiziopatologie,630
367,2312,Histologie. Anatomie patologica,631
1850,2312,Igiena,632
207,2312,Pedagogie 1,633
1747,2313,Biofizica,634
846,2313,Evaluare osteoarticulara si musculara,635
1578,2313,Anatomie II,636
489,2313,Genetica,637
1781,2313,Fiziologie și Fiziopatologie,638
367,2313,Histologie. Anatomie patologica,639
1850,2313,Igiena,640
207,2313,Pedagogie 1,641
1588,822,Ortopedie si traumatologie,642
755,822,Recuperare in patologia neurologica,643
755,822,Neurologie,644
755,822,Recuperare in patologia cardiovasculara,645
548,822,Recuperare in patologie ortopedica si traumatica ,646
749,822,Boli infecțioase. Epidemiologie,647
743,822,Deontologie medicala. Bioetica,648
1067,822,Metodologia cercetarii stiintifice,649
824,822,Semiologie chirurgicala si chirurgie,650
1755,822,Radiologie si imagistica medicala,651
744,822,Didactica specialitatii,652
193,822,Aquagim recuperatoriu,653
1588,2284,Ortopedie si traumatologie,654
755,2284,Recuperare in patologia neurologica,655
755,2284,Neurologie,656
755,2284,Recuperare in patologia cardiovasculara,657
548,2284,Recuperare in patologie ortopedica si traumatica ,658
749,2284,Boli infecțioase. Epidemiologie,659
743,2284,Deontologie medicala. Bioetica,660
1067,2284,Metodologia cercetarii stiintifice,661
824,2284,Semiologie chirurgicala si chirurgie,662
1755,2284,Radiologie si imagistica medicala,663
744,2284,Didactica specialitatii,664
193,2284,Aquagim recuperatoriu,665
1796,872,Urgente medicale si prim ajutor,666
1588,872,Recuperare in medicina sportiva,667
755,872,Recuperare in patologia respiratorie,668
846,872,Terapie ocupationala. Psihomotricitate educarea si reeducare psihomotr,669
268,872,Kinetoterapia in deficiente fizice si senzoriale,670
206,872,Managementul Clasei de Elevi,671
755,872,Recuperare in patologia geriatrica,672
1516,872,Recup in patol uro-genitala si in obstetrica. Kinetoprofilaxie in obst,673
1796,873,Urgente medicale si prim ajutor,674
1588,873,Recuperare in medicina sportiva,675
755,873,Recuperare in patologia respiratorie,676
846,873,Terapie ocupationala. Psihomotricitate educarea si reeducare psihomotr,677
268,873,Kinetoterapia in deficiente fizice si senzoriale,678
206,873,Managementul Clasei de Elevi,679
755,873,Recuperare in patologia geriatrica,680
1516,873,Recup in patol uro-genitala si in obstetrica. Kinetoprofilaxie in obst,681
1796,2270,Urgente medicale si prim ajutor,682
1588,2270,Recuperare in medicina sportiva,683
755,2270,Recuperare in patologia respiratorie,684
846,2270,Terapie ocupationala. Psihomotricitate educarea si reeducare psihomotr,685
268,2270,Kinetoterapia in deficiente fizice si senzoriale,686
206,2270,Managementul Clasei de Elevi,687
755,2270,Recuperare in patologia geriatrica,688
1516,2270,Recup in patol uro-genitala si in obstetrica. Kinetoprofilaxie in obst,689
1677,2316,Histologie si embriologie vegetala si animala,690
1742,2316,Sistematica nevertebratelor,691
1503,2316,Chimie analitica si instrumentala,692
1797,2316,Botanica sistematica (Criptogame),693
340,2316,Biochimie,694
207,2316,Pedagogie 1,695
1677,2156,Histologie si embriologie vegetala si animala,696
1742,2156,Sistematica nevertebratelor,697
1503,2156,Chimie analitica si instrumentala,698
1797,2156,Botanica sistematica (Criptogame),699
340,2156,Biochimie,700
207,2156,Pedagogie 1,701
843,2158,Introducere in bioinformatica,702
1749,2158,Imunobiologie,703
1749,2158,Microbiologie generala,704
510,2158,Matematici cu aplicatii in biologie,705
1685,2158,Fiziologie animala,706
744,2158,Didactica specialitatii,707
843,2279,Introducere in bioinformatica,708
1749,2279,Imunobiologie,709
1749,2279,Microbiologie generala,710
510,2279,Matematici cu aplicatii in biologie,711
1685,2279,Fiziologie animala,712
744,2279,Didactica specialitatii,713
1742,2274,Conservarea naturii,714
1742,2274,Etologie,715
1749,2274,Anatomie comparata,716
1749,2274,Genetica umana,717
714,2274,Fitocenologie,718
336,2274,Inginerie genetica,719
1685,2274,"Functii de relatii,nutritie si reproducere la animale",720
1742,2321,Conservarea naturii,721
1742,2321,Etologie,722
1749,2321,Anatomie comparata,723
1749,2321,Genetica umana,724
714,2321,Fitocenologie,725
336,2321,Inginerie genetica,726
1685,2321,"Functii de relatii,nutritie si reproducere la animale",727
206,2321,Managementul Clasei de Elevi,728
31,20,Electrotehnică,729
20,20,Matematici speciale,730
808,20,Programarea calculatoarelor şi limbaje de programare II,731
410,20,Fizică I,732
138,20,Arhitectura sistemelor de calcul,733
149,20,Pedagogie I,734
31,21,Electrotehnică,735
20,21,Matematici speciale,736
808,21,Programarea calculatoarelor şi limbaje de programare II,737
410,21,Fizică I,738
138,21,Arhitectura sistemelor de calcul,739
149,21,Pedagogie I,740
31,23,Electrotehnică,741
20,23,Matematici speciale,742
808,23,Programarea calculatoarelor şi limbaje de programare II,743
410,23,Fizică I,744
138,23,Arhitectura sistemelor de calcul,745
149,23,Pedagogie I,746
